PMID,Author,Affiliation,length(Author),length(Affiliation),equal
8890379,Yoshimizu M,"Department of Marine Bioresources Chemistry, Faculty of Fisheries, Hokkaido University, Japan.",1,1,True
11299044,"Le Flèche P,Hauck Y,Onteniente L,Prieur A,Denoeud F,Ramisse V,Sylvestre P,Benson G,Ramisse F,Vergnaud G","Centre d'Etudes du Bouchet, BP3, 91710 Vert le Petit, France. lefleche@igmors.u-psud.fr",10,1,False
11886745,"Kim Wonyong,Hong Yeon-pyo,Yoo Jae-hyung,Lee Won-bok,Choi Chul-soon,Chung Sang-in","Department of Microbiology, Chung-Ang University College of Medicine and Institute of Medical Research, Seoul 156-756, South Korea.",6,1,False
14715089,"Denoeud France,Vergnaud Gilles","Laboratoire GPMS, Institut de Génétique et Microbiologie, Bat 400, Université Paris-Sud, 91405 Orsay cedex, France. France.Denoeud@igmors.u-psud.fr",2,1,False
16085861,"Ryu Chunsun,Lee Kyunghee,Hawng Han-Jun,Yoo Cheon-Kwon,Seong Won-Keun,Oh Hee-Bok","Department of Bacteriology, National Institute of Health, 5-Nokbeon-dong, Eunpyeong-gu, Seoul 122-701, South Korea.",6,1,False
16318690,"Muwonge Apollo,Nanyunja Miriam,Rota Paul A,Bwogi Josephine,Lowe Luis,Liffick Stephanie L,Bellini William J,Sylvester Sempala","Uganda Virus Research Institute, Entebbe, Uganda.",8,1,False
18230125,"Ciammaruconi Andrea,Grassi Saverio,De Santis Riccardo,Faggioni Giovanni,Pittiglio Valentina,D'Amelio Raffaele,Carattoli Alessandra,Cassone Antonio,Vergnaud Gilles,Lista Florigio","Histology and Molecular Biology Section, Army Medical Research Center, Via Santo Stefano Rotondo 4, 00184 Rome, Italy. andrea.ciammaruconi@gmail.com",10,1,False
18650364,"Ikawaty Risma,Willems Rob J L,Box Adrienne T A,Verhoef Jan,Fluit Ad C","Department of Medical Microbiology, University Medical Centre Utrecht, Utrecht, The Netherlands.",5,1,False
19368722,"Simonson Tatum S,Okinaka Richard T,Wang Bingxiang,Easterday W Ryan,Huynh Lynn,U'Ren Jana M,Dukerich Meghan,Zanecki Shaylan R,Kenefic Leo J,Beaudry Jodi,Schupp James M,Pearson Talima,Wagner David M,Hoffmaster Alex,Ravel Jacques,Keim Paul","Department of Biological Sciences, Northern Arizona University, Flagstaff, AZ 86011-5640, USA. Tatum.Simonson@utah.edu",16,1,False
19543392,"Li Yanjun,Cui Yujun,Hauck Yolande,Platonov Mikhail E,Dai Erhei,Song Yajun,Guo Zhaobiao,Pourcel Christine,Dentovskaya Svetlana V,Anisimov Andrey P,Yang Ruifu,Vergnaud Gilles","Laboratory of Analytical Microbiology, State Key Laboratory of Pathogen and Biosecurity, Institute of Microbiology and Epidemiology, Beijing, China.",12,1,False
19679889,"Li Q,Hyland A,O'Connor R,Zhao G,Du L,Li X,Fong G T","National Center for Chronic and Non-communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, 27 Nanwei Road, Beijing, P R China. Qangli33@yahoo.com",7,1,False
19775435,"Zhang Xiaoai,Hai Rong,Wei Jianchun,Cui Zhigang,Zhang Enmin,Song Zhizhong,Yu Dongzheng","National Institute for Communicable Disease Control and Prevention, and State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention, Changping, Beijing 102206, PR China. zhangxiaoai_0922@163.com",7,1,False
20507744,"Zhang Yan,Ding Zhengrong,Wang Huiling,Li Liqun,Pang Yankun,Brown Kevin E,Xu Songtao,Zhu Zhen,Rota Paul A,Featherstone David,Xu Wenbo","National Institute for Viral Disease Control and Prevention, Beijing, People's Republic of China.",11,1,False
22844129,"Nagane Motoo,Nishikawa Ryo,Narita Yoshitaka,Kobayashi Hiroyuki,Takano Shingo,Shinoura Nobusada,Aoki Tomokazu,Sugiyama Kazuhiko,Kuratsu Junichi,Muragaki Yoshihiro,Sawamura Yutaka,Matsutani Masao","Department of Neurosurgery, Kyorin University Faculty of Medicine, 6-20-2 Shinkawa, Mitaka, Tokyo, Japan. nagane-nsu@umin.ac.jp",12,1,False
23618500,"Shields Lisa B E,Kadner Robert,Vitaz Todd W,Spalding Aaron C",None,4,0,False
24081946,"Vergote Ignace B,Garcia Agustin,Micha John,Pippitt Charles,Bendell Johanna,Spitz Daniel,Reed Nicholas,Dark Graham,Fracasso Paula M,Ibrahim Emad N,Armenio Vincent A,Duska Linda,Poole Chris,Gennigens Christine,Dirix Luc Y,Leung Abraham C F,Zhao Carol,Soufi-Mahjoubi Raoudha,Rustin Gordon","Ignace B. Vergote, University Hospital Leuven, Leuven; Christine Gennigens, Centre Hospitalier Universitaire de Liège, Liège; Luc Y. Dirix, Gasthuis Zusters Antwerpen, Antwerp, Belgium; Agustin Garcia, University of Southern California Norris Comprehensive Cancer Center and Hospital, Los Angeles; John Micha, Gynecologic Oncology Associates, Newport Beach; Emad N. Ibrahim, Beaver Medical Group, Redlands; Abraham C.F. Leung, Carol Zhao, and Raoudha Soufi-Mahjoubi, Nektar Therapeutics, San Francisco, CA; Charles Pippitt, Piedmont Hematology Oncology Associates, Winston Salem, NC; Johanna Bendell, Sarah Cannon Research Institute, Nashville, TN; Daniel Spitz, Palm Beach Cancer Institute, West Palm Beach, FL; Nicholas Reed, Beatson Oncology Centre, Glasgow; Graham Dark, Freeman Hospital, Newcastle upon Tyne; Chris Poole, University Hospital Coventry, Coventry; Gordon Rustin, Mount Vernon Hospital, Northwood, United Kingdom; Paula M. Fracasso and Linda Duska, University of Virginia Health System, Charlottesville, VA; and Vincent A. Armenio, Pharma Resource, Providence, RI.",19,1,False
