tw,aw,afw,stanford_result
0.1,0.1,0.8,"['Japan', 'France', 'South Korea', 'France', 'Korea,South Korea', 'Uganda', 'Italy', 'Netherlands', 'China,USA', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador,Spain', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Canada', 'Portugal', 'USA', 'Chile,Norway,Canada', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland,Germany', 'Nicaragua,Germany', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America,USA', 'Romania,United Kingdom', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC,China', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia,Italy', 'Spain', 'Thailand', 'Ghana']"
0.1,0.2,0.7,"['Japan', 'France', 'South Korea', 'France', 'Korea,South Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador,Spain', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Norway,Canada', 'Portugal', 'USA', 'Chile,Norway,Canada', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua,Germany', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC,China', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia,Italy', 'Spain', 'Thailand', 'Ghana']"
0.1,0.3,0.6,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador,Spain', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Norway,Canada', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.1,0.4,0.5,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Norway,Canada', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.1,0.5,0.4,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador', '', 'USA', 'Spain', '', 'China', 'USA', 'China', 'Netherlands', 'America,Norway,Canada', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.1,0.6,0.3,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador', '', 'USA', 'Spain', '', 'China', 'USA', 'China', 'Netherlands', 'America,Norway', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia', 'Switzerland', 'Iran', 'Canada', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.1,0.7,0.2,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador', '', 'USA', 'Spain', '', 'China', 'USA', 'China', 'Netherlands', 'America,Norway', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia', 'Switzerland', 'Iran', 'Canada', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.1,0.8,0.1,"['Japan', 'France', 'South Korea', 'France', 'Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador', '', 'USA', 'Spain', '', 'China', 'USA', 'China', 'Netherlands', 'America,Norway', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia', 'Switzerland', 'Iran', 'Canada', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC', 'Japan', 'China', 'ROC', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
0.2,0.1,0.7,"['Japan', 'France', 'South Korea', 'France', 'Korea,South Korea', 'Uganda', 'Italy', 'Netherlands', 'China,USA', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador,Spain', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Canada', 'Portugal', 'USA', 'Chile,Canada', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua,Germany', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America,USA', 'Romania,United Kingdom', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC,China', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia,Italy', 'Spain', 'Thailand', 'Ghana']"
0.2,0.2,0.6,"['Japan', 'France', 'South Korea', 'France', 'Korea,South Korea', 'Uganda', 'Italy', 'Netherlands', 'China', 'China', 'China', 'China', 'China,Republic of China', 'Japan', '', 'Belgium', 'Japan', 'Ecuador,Spain', '', 'USA', 'Spain', '', 'China,Republic of China', 'USA', 'China', 'Netherlands', 'America,Canada', 'Portugal', 'USA', 'Chile,Norway', 'Mexico', 'Russia,USA', 'Switzerland', 'Iran', 'Canada,USA', 'Italy', 'Bulgaria', 'Germany', 'Greece', 'China', 'China', 'Lithuania', 'Finland', 'Nicaragua', 'China', 'Norway', 'Canada', 'Norway', 'Italy', 'America', 'Romania', 'United States', 'Russia', 'China', '', 'United States', 'USA', 'Switzerland', 'China', 'ROC,China', 'China', 'Republic of China', 'Canada', 'Germany', 'ROC,China', 'Japan', 'China', 'ROC,China', 'Spain', 'Switzerland', 'Italy', 'Australia', '', 'Norway', 'China', 'Ghana', 'Norway', 'America,Italy', 'India', 'China', 'Taiwan', 'Denmark', 'China', 'China', 'China', 'Denmark', 'US,USA', 'Italy', 'Italy', 'Kazakhstan', 'China', 'Netherlands', 'Australia', 'USA,Japan', 'Poland', 'China', 'Saudi Arabia', 'Spain', 'Thailand', 'Ghana']"
