PMID,Data-Location-country,StanfordNER
8890379,Japan,Japan
11299044,France,France
11886745,South Korea,South Korea
14715089,France,France
16085861,South Korea,Korea
16318690,Uganda,Uganda
18230125,France,Italy
18650364,Netherlands,Netherlands
19368722,USA,China
19543392,None,China
19679889,China,China
19775435,China,China
20507744,China,China Republic of China
22844129,Japan,Japan
23618500,USA,
24081946,America,Belgium
25228814,Japan,Japan
25266919,None,Ecuador
25477419,Maryland,
25625931,USA,USA
25649069,Spain,Spain
25863554,USA,
25887647,China,China
25935109,USA,USA
26407720,Canada,China
26684199,The Netherlands,Netherlands
26730591,Canada,America Norway Canada
27091337,Portugal,Portugal
27110809,USA,USA
27296722,Chile,Chile Norway
27474020,Mexico,Mexico
27677796,USA,Russia
27986081,Switzerland,Switzerland
28068343,Iran,Iran
28526093,USA,Canada
28840825,Italy,Italy
28920573,Bulgaria,Bulgaria
29141164,Germany,Germany
29212743,None,Greece
29770166,China,China
29897940,China,China
29954410,Lithuania,Lithuania
30176810,Germany,Finland
30419951,Germany,Nicaragua
30654640,China,China
30659618,Norway,Norway
30691522,Canada,Canada
30700987,Norway,Norway
30869017,Italy,Italy
30917860,None,America
31073518,United Kingdom,Romania
31267976,United States,United States
31315564,Russia,Russia
31379707,China,China
31385961,USA,
31463471,United States,United States
31610803,USA,USA
31678955,Switzerland,Switzerland
31772556,China,China
31803536,China,ROC
31831539,China,China
31920340,China,Republic of China
31921706,Switzerland,Canada
31936409,Italy,Germany
32002016,China,ROC China
32033243,Japan,Japan
32059712,China,China
32065482,China,ROC
32098121,Spain,Spain
32098190,Switzerland,Switzerland
32312323,None,Italy
32328167,None,Australia
32352416,Prague-Czech Republic,
32381047,Norway,Norway
32432045,China,China
32477039,Ghana,Ghana
32547516,Norway,Norway
32580384,Italy,America Italy
32736522,India,India
32969836,China,China
33001978,Taiwan,Taiwan
33036449,Denmark,Denmark
33072571,China,China
33178587,China,China
33193664,China,China
33215088,Denmark,Denmark
33228674,USA,US USA
33233535,Italy,Italy
33302522,Italy,Italy
33303664,Kazakhstan,Kazakhstan
33330624,China,China
33333830,None,Netherlands
33335272,Australia,Australia
33339404,Japan,USA Japan
33353183,Potland,Poland
33381271,China,China
33396491,None,Saudi Arabia
33407813,Spain,Spain
33455579,Thailand,Thailand
33474517,Ghana,Ghana
